PERMNO,date,TICKER,PRC
59328,20170502,INTC,36.97000
59328,20170503,INTC,36.98000
59328,20170504,INTC,36.85000
59328,20170505,INTC,36.82000
59328,20170508,INTC,36.54000
59328,20170509,INTC,36.37000
59328,20170510,INTC,36.01000
59328,20170511,INTC,35.69000
59328,20170512,INTC,35.53000
59328,20170515,INTC,35.63000
59328,20170516,INTC,35.82000
59328,20170517,INTC,35.04000
59328,20170518,INTC,35.22000
59328,20170519,INTC,35.40000
59328,20170522,INTC,35.77000
59328,20170523,INTC,35.86000
59328,20170524,INTC,36.12000
59328,20170525,INTC,36.26000
59328,20170526,INTC,36.26000
59328,20170530,INTC,36.18000
59328,20170531,INTC,36.11000
59328,20170601,INTC,36.12000
59328,20170602,INTC,36.32000
59328,20170605,INTC,36.34000
59328,20170606,INTC,36.13000
59328,20170607,INTC,36.26000
59328,20170608,INTC,36.48000
59328,20170609,INTC,35.71000
59328,20170612,INTC,35.73000
59328,20170613,INTC,35.88000
59328,20170614,INTC,35.53000
59328,20170615,INTC,35.31000
59328,20170616,INTC,35.21000
59328,20170619,INTC,35.51000
59328,20170620,INTC,34.86000
59328,20170621,INTC,34.58000
59328,20170622,INTC,34.36000
59328,20170623,INTC,34.19000
59328,20170626,INTC,34.07000
59328,20170627,INTC,33.65000
59328,20170628,INTC,34.20000
59328,20170629,INTC,33.54000
59328,20170630,INTC,33.74000
59328,20170703,INTC,33.46000
59328,20170705,INTC,34.34000
59328,20170706,INTC,33.63000
59328,20170707,INTC,33.88000
59328,20170710,INTC,33.65000
59328,20170711,INTC,33.92000
59328,20170712,INTC,34.25000
59328,20170713,INTC,34.24000
59328,20170714,INTC,34.68000
59328,20170717,INTC,34.47000
59328,20170718,INTC,34.53000
59328,20170719,INTC,34.56000
59328,20170720,INTC,34.75000
59328,20170721,INTC,34.73000
59328,20170724,INTC,34.50000
59328,20170725,INTC,34.67000
59328,20170726,INTC,34.75000
59328,20170727,INTC,34.97000
59328,20170728,INTC,35.31000
59328,20170731,INTC,35.47000
59328,20170801,INTC,36.35000
